Timestamp,ClientID,Latency(ms)
19:38.5,1,3.7476
19:38.6,2,3.8912
19:38.6,3,3.8854
19:38.7,4,3.9842
19:38.7,5,3.9278
19:38.8,6,2.8939
19:38.9,7,1.79
19:38.9,8,3.9461
19:39.0,9,3.8082
19:39.1,10,3.4529
19:39.1,11,3.8111
19:39.2,12,3.6524
19:39.2,13,3.8395
19:39.3,14,2.8984
19:39.4,15,3.6692
19:39.4,16,3.6962
19:39.5,17,2.0825
19:39.5,1,0.3068
19:39.6,18,4.6043
19:39.6,2,0.125
19:39.6,19,3.0466
19:39.6,3,0.2632
19:39.7,20,3.9801
19:39.7,4,0.104
19:39.7,21,3.3011
19:39.8,5,0.0902
19:39.8,22,3.409
19:39.8,6,0.2656
19:39.9,23,3.7657
19:39.9,7,0.1432
19:39.9,24,3.3969
19:39.9,8,0.1067
19:40.0,25,3.9568
19:40.0,9,0.2901
19:40.0,26,1.9016
19:40.1,10,0.0876
19:40.1,27,3.7404
19:40.1,11,0.0875
19:40.2,28,3.9286
19:40.2,12,0.0997
19:40.2,29,3.7314
19:40.3,13,0.1446
19:40.3,30,6.0789
19:40.3,14,0.1236
19:40.4,31,3.8015
19:40.4,15,0.1027
19:40.4,32,4.0879
19:40.4,16,0.1047
19:40.5,33,3.8299
19:40.5,17,0.1099
19:40.5,1,0.1008
19:40.5,34,4.0409
19:40.6,18,0.1006
19:40.6,2,0.0879
19:40.6,35,4.1159
19:40.6,19,0.1136
19:40.6,3,0.1437
19:40.7,36,4.1081
19:40.7,20,0.0862
19:40.7,4,0.0638
19:40.7,37,4.1054
19:40.7,21,0.0766
19:40.8,5,0.1114
19:40.8,38,3.9499
19:40.8,22,0.1603
19:40.8,6,0.1062
19:40.9,39,4.0608
19:40.9,23,0.0796
19:40.9,7,0.0997
19:40.9,40,3.9354
19:40.9,24,0.1481
19:40.9,8,0.1375
19:41.0,41,4.0467
19:41.0,25,0.0755
19:41.0,9,0.1239
19:41.0,42,3.9015
19:41.1,26,0.1272
19:41.1,10,0.1024
19:41.1,43,4.1793
19:41.1,27,0.1965
19:41.1,11,0.1101
19:41.2,44,4.1176
19:41.2,28,0.0619
19:41.2,12,0.2501
19:41.2,45,3.8616
19:41.2,29,0.284
19:41.3,13,0.1041
19:41.3,46,4.1288
19:41.3,30,0.0624
19:41.3,14,0.1286
19:41.4,47,3.9965
19:41.4,31,0.0997
19:41.4,15,0.0973
19:41.4,48,5.8892
19:41.4,32,0.0806
19:41.4,16,0.1059
19:41.5,49,3.987
19:41.5,33,0.077
19:41.5,17,0.1192
19:41.5,1,0.067
19:41.5,50,4.0271
