Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오전 12:07:25, 0.00, 39.00, 522, 243, 0, 0.00
2024-09-18 오전 12:07:26, 1.52, 39.00, 1045, 487, 0, 0.00
2024-09-18 오전 12:07:27, 1.15, 39.00, 1568, 731, 0, 0.00
2024-09-18 오전 12:07:28, 0.77, 39.00, 2091, 975, 0, 0.00
2024-09-18 오전 12:07:29, 1.14, 39.00, 2614, 1219, 0, 0.00
2024-09-18 오전 12:07:30, 0.38, 39.00, 3195, 1490, 0, 0.00
2024-09-18 오전 12:07:31, 0.38, 39.00, 3718, 1734, 0, 0.00
2024-09-18 오전 12:07:32, 0.77, 39.00, 4183, 1951, 0, 0.00
2024-09-18 오전 12:07:33, 0.00, 39.00, 4648, 2168, 0, 0.00
2024-09-18 오전 12:07:34, 0.00, 39.00, 5229, 2439, 0, 0.00
2024-09-18 오전 12:07:35, 0.38, 39.00, 5810, 2710, 0, 0.00
2024-09-18 오전 12:07:36, 0.39, 39.00, 6391, 2981, 0, 0.00
2024-09-18 오전 12:07:37, 0.39, 39.00, 6972, 3252, 0, 0.00
2024-09-18 오전 12:07:38, 0.00, 39.00, 7553, 3523, 0, 0.60
2024-09-18 오전 12:07:39, 0.00, 39.00, 8134, 3794, 0, 0.00
2024-09-18 오전 12:07:40, 0.00, 39.00, 8715, 4065, 0, 0.40
2024-09-18 오전 12:07:41, 0.38, 39.00, 9179, 4281, 0, 0.50
2024-09-18 오전 12:07:42, 0.38, 39.00, 9702, 4525, 0, 0.00
2024-09-18 오전 12:07:43, 0.77, 39.00, 10225, 4769, 0, 0.00
2024-09-18 오전 12:07:44, 0.00, 39.00, 10748, 5013, 0, 0.00
2024-09-18 오전 12:07:45, 0.39, 39.00, 11271, 5257, 0, 0.00
2024-09-18 오전 12:07:46, 0.00, 39.00, 11794, 5501, 0, 0.00
2024-09-18 오전 12:07:47, 0.39, 39.00, 12259, 5718, 0, 0.00
2024-09-18 오전 12:07:48, 0.00, 39.00, 12782, 5962, 0, 0.00
2024-09-18 오전 12:07:49, 0.38, 39.00, 13363, 6233, 0, 0.00
2024-09-18 오전 12:07:50, 0.00, 39.00, 13944, 6504, 0, 0.00
2024-09-18 오전 12:07:51, 0.77, 39.00, 14525, 6775, 0, 0.00
2024-09-18 오전 12:07:52, 0.38, 39.00, 15106, 7046, 0, 0.00
2024-09-18 오전 12:07:53, 0.00, 39.00, 15687, 7317, 0, 0.00
2024-09-18 오전 12:07:54, 0.00, 39.00, 16268, 7588, 0, 0.00
2024-09-18 오전 12:07:55, 0.00, 39.00, 16849, 7859, 0, 0.00
2024-09-18 오전 12:07:56, 1.16, 39.00, 17313, 8075, 0, 0.00
2024-09-18 오전 12:07:57, 0.00, 39.00, 17836, 8319, 0, 0.00
2024-09-18 오전 12:07:58, 0.76, 39.00, 18359, 8563, 0, 0.00
2024-09-18 오전 12:07:59, 0.00, 39.00, 18882, 8807, 0, 0.00
2024-09-18 오전 12:08:00, 0.00, 39.00, 19463, 9078, 0, 0.30
2024-09-18 오전 12:08:01, 0.38, 39.00, 19986, 9322, 0, 0.00
2024-09-18 오전 12:08:02, 0.00, 39.00, 20451, 9539, 0, 0.00
2024-09-18 오전 12:08:03, 0.39, 39.00, 20916, 9756, 0, 0.00
2024-09-18 오전 12:08:04, 0.39, 39.00, 21497, 10027, 0, 0.00
2024-09-18 오전 12:08:05, 0.00, 39.00, 22078, 10298, 0, 0.00
2024-09-18 오전 12:08:07, 0.39, 39.00, 22659, 10569, 0, 0.00
2024-09-18 오전 12:08:08, 0.00, 39.00, 23240, 10840, 0, 0.00
2024-09-18 오전 12:08:09, 0.38, 39.00, 23821, 11111, 0, 0.00
2024-09-18 오전 12:08:10, 0.00, 39.00, 24402, 11382, 0, 0.00
2024-09-18 오전 12:08:11, 0.39, 39.00, 24983, 11653, 0, 0.00
2024-09-18 오전 12:08:12, 0.39, 39.00, 25447, 11869, 0, 0.00
2024-09-18 오전 12:08:13, 0.38, 39.00, 25970, 12113, 0, 0.11
2024-09-18 오전 12:08:14, 0.38, 39.00, 26493, 12357, 0, 0.00
2024-09-18 오전 12:08:15, 0.39, 39.00, 27016, 12601, 0, 0.00
2024-09-18 오전 12:08:16, 0.38, 39.00, 27597, 12872, 0, 0.00
2024-09-18 오전 12:08:17, 0.39, 39.00, 28120, 13116, 0, 0.00
2024-09-18 오전 12:08:18, 0.00, 39.00, 28643, 13360, 0, 0.00
2024-09-18 오전 12:08:19, 0.38, 39.00, 29108, 13577, 0, 0.00
2024-09-18 오전 12:08:20, 0.00, 39.00, 29631, 13821, 0, 0.00
2024-09-18 오전 12:08:21, 0.39, 39.00, 30212, 14092, 0, 0.00
2024-09-18 오전 12:08:22, 0.00, 39.00, 30793, 14363, 0, 0.00
2024-09-18 오전 12:08:23, 0.77, 39.00, 31374, 14634, 0, 0.00
2024-09-18 오전 12:08:24, 0.00, 39.00, 31955, 14905, 0, 0.00
2024-09-18 오전 12:08:25, 0.39, 39.00, 32536, 15176, 0, 0.00
2024-09-18 오전 12:08:26, 0.77, 39.00, 33117, 15447, 0, 0.00
2024-09-18 오전 12:08:27, 0.77, 39.00, 33698, 15718, 0, 0.00
2024-09-18 오전 12:08:28, 0.00, 39.00, 34162, 15934, 0, 0.00
2024-09-18 오전 12:08:29, 0.38, 39.00, 34685, 16178, 0, 0.00
2024-09-18 오전 12:08:30, 0.38, 39.00, 35208, 16422, 0, 0.00
2024-09-18 오전 12:08:31, 0.00, 39.00, 35731, 16666, 0, 0.00
2024-09-18 오전 12:08:32, 0.39, 39.00, 36254, 16910, 0, 0.00
2024-09-18 오전 12:08:33, 0.39, 39.00, 36777, 17154, 0, 0.00
2024-09-18 오전 12:08:34, 0.00, 39.00, 37242, 17371, 0, 0.00
2024-09-18 오전 12:08:35, 0.00, 39.00, 37765, 17615, 0, 0.00
2024-09-18 오전 12:08:36, 0.39, 39.00, 38346, 17886, 0, 0.00
2024-09-18 오전 12:08:37, 1.15, 39.00, 38927, 18157, 0, 0.00
2024-09-18 오전 12:08:38, 0.00, 39.00, 39508, 18428, 0, 0.00
2024-09-18 오전 12:08:39, 0.39, 39.00, 40089, 18699, 0, 0.00
2024-09-18 오전 12:08:40, 0.38, 39.00, 40670, 18970, 0, 0.00
2024-09-18 오전 12:08:41, 0.00, 39.00, 41251, 19241, 0, 0.00
2024-09-18 오전 12:08:42, 0.39, 39.00, 41832, 19512, 0, 0.00
2024-09-18 오전 12:08:43, 0.00, 39.00, 42296, 19728, 0, 0.00
2024-09-18 오전 12:08:44, 0.39, 39.00, 42819, 19972, 0, 0.00
2024-09-18 오전 12:08:45, 0.39, 39.00, 43342, 20216, 0, 0.00
2024-09-18 오전 12:08:46, 0.38, 39.00, 43865, 20460, 0, 0.00
2024-09-18 오전 12:08:47, 0.38, 39.00, 44446, 20731, 0, 0.00
2024-09-18 오전 12:08:48, 0.38, 39.00, 44911, 20948, 0, 0.00
2024-09-18 오전 12:08:49, 0.39, 39.00, 45434, 21192, 0, 0.00
2024-09-18 오전 12:08:50, 0.38, 39.00, 45899, 21409, 0, 0.00
2024-09-18 오전 12:08:51, 0.39, 39.00, 46480, 21680, 0, 0.00
2024-09-18 오전 12:08:52, 0.00, 39.00, 47061, 21951, 0, 0.00
2024-09-18 오전 12:08:53, 0.39, 39.00, 47642, 22222, 0, 0.00
2024-09-18 오전 12:08:54, 0.00, 39.00, 48223, 22493, 0, 0.00
2024-09-18 오전 12:08:55, 0.77, 39.00, 48804, 22764, 0, 0.00
2024-09-18 오전 12:08:56, 0.00, 39.00, 49385, 23035, 0, 0.00
2024-09-18 오전 12:08:57, 0.00, 39.00, 49966, 23306, 0, 0.00
2024-09-18 오전 12:08:58, 0.38, 39.00, 50430, 23522, 0, 0.00
2024-09-18 오전 12:08:59, 0.00, 39.00, 50953, 23766, 0, 0.00
2024-09-18 오전 12:09:00, 0.00, 39.00, 51476, 24010, 0, 0.00
2024-09-18 오전 12:09:01, 0.00, 39.00, 51999, 24254, 0, 0.00
2024-09-18 오전 12:09:02, 0.38, 39.00, 52580, 24525, 0, 0.00
2024-09-18 오전 12:09:03, 0.00, 39.00, 53103, 24769, 0, 0.00
