Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 10:42:17, 0.00, 42.00, 19770, 9354, 0, 0.26
2024-09-17 오후 10:42:18, 0.37, 42.00, 25485, 12062, 0, 0.49
2024-09-17 오후 10:42:20, 1.53, 42.00, 31082, 14714, 0, 0.39
2024-09-17 오후 10:42:21, 0.38, 42.00, 36679, 17366, 0, 0.38
2024-09-17 오후 10:42:22, 0.39, 42.00, 42276, 20018, 0, 0.45
2024-09-17 오후 10:42:23, 0.00, 42.00, 47814, 22642, 0, 0.49
2024-09-17 오후 10:42:24, 1.14, 42.00, 53353, 25267, 0, 0.61
2024-09-17 오후 10:42:25, 0.38, 42.00, 59011, 27949, 0, 0.72
2024-09-17 오후 10:42:26, 0.38, 42.00, 64550, 30574, 0, 0.61
2024-09-17 오후 10:42:27, 1.54, 42.00, 70324, 33310, 0, 0.65
2024-09-17 오후 10:42:28, 1.14, 42.00, 75863, 35935, 0, 0.55
2024-09-17 오후 10:42:29, 1.54, 42.00, 81402, 38560, 0, 0.61
2024-09-17 오후 10:42:30, 0.76, 42.00, 87000, 41213, 0, 0.62
2024-09-17 오후 10:42:31, 0.77, 42.00, 92657, 43894, 0, 0.66
2024-09-17 오후 10:42:32, 0.38, 42.00, 98137, 46491, 0, 0.68
2024-09-17 오후 10:42:33, 0.38, 42.00, 103616, 49087, 0, 0.63
2024-09-17 오후 10:42:34, 0.38, 42.00, 109272, 51767, 0, 0.61
2024-09-17 오후 10:42:35, 0.00, 42.00, 115046, 54503, 0, 0.62
2024-09-17 오후 10:42:36, 0.00, 42.00, 120584, 57127, 0, 0.60
2024-09-17 오후 10:42:37, 0.39, 42.00, 126063, 59723, 0, 0.60
2024-09-17 오후 10:42:38, 0.77, 42.00, 131600, 62346, 0, 0.57
2024-09-17 오후 10:42:39, 0.39, 42.00, 137138, 64970, 0, 0.59
2024-09-17 오후 10:42:40, 0.00, 42.00, 142853, 67678, 0, 0.69
2024-09-17 오후 10:42:41, 0.76, 42.00, 148450, 70330, 0, 0.64
2024-09-17 오후 10:42:42, 0.00, 42.00, 154106, 73010, 0, 0.58
2024-09-17 오후 10:42:43, 0.39, 42.00, 159762, 75690, 0, 0.54
2024-09-17 오후 10:42:44, 0.00, 42.00, 165301, 78315, 0, 0.56
2024-09-17 오후 10:42:45, 1.90, 42.00, 170959, 80997, 0, 0.67
2024-09-17 오후 10:42:46, 0.38, 42.00, 176498, 83622, 0, 0.53
2024-09-17 오후 10:42:47, 0.00, 42.00, 182272, 86358, 0, 0.56
2024-09-17 오후 10:42:48, 1.55, 42.00, 187811, 88983, 0, 0.65
2024-09-17 오후 10:42:49, 1.54, 42.00, 193291, 91580, 0, 0.54
2024-09-17 오후 10:42:50, 0.39, 42.00, 198948, 94261, 0, 0.61
2024-09-17 오후 10:42:51, 1.14, 42.00, 204487, 96886, 0, 0.65
2024-09-17 오후 10:42:52, 0.38, 42.00, 210085, 99539, 0, 0.54
2024-09-17 오후 10:42:53, 0.39, 42.00, 215505, 102107, 0, 0.59
2024-09-17 오후 10:42:54, 0.00, 42.00, 221220, 104815, 0, 0.63
2024-09-17 오후 10:42:55, 0.00, 42.00, 226994, 107551, 0, 0.64
2024-09-17 오후 10:42:56, 1.15, 42.00, 232532, 110175, 0, 0.54
2024-09-17 오후 10:42:57, 0.39, 42.00, 238011, 112771, 0, 0.58
2024-09-17 오후 10:42:58, 0.77, 42.00, 243548, 115394, 0, 0.62
2024-09-17 오후 10:42:59, 0.77, 42.00, 249086, 118018, 0, 0.63
2024-09-17 오후 10:43:00, 0.38, 42.00, 254801, 120726, 0, 0.70
2024-09-17 오후 10:43:01, 0.39, 42.00, 260280, 123322, 0, 0.68
2024-09-17 오후 10:43:02, 1.16, 42.00, 265995, 126030, 0, 0.43
2024-09-17 오후 10:43:03, 0.76, 42.00, 271592, 128682, 0, 0.52
2024-09-17 오후 10:43:04, 0.00, 42.00, 277190, 131335, 0, 0.58
2024-09-17 오후 10:43:05, 0.77, 42.00, 282730, 133961, 0, 0.54
2024-09-17 오후 10:43:06, 1.52, 42.00, 288446, 136670, 0, 0.64
2024-09-17 오후 10:43:07, 0.77, 42.00, 294044, 139323, 0, 0.77
2024-09-17 오후 10:43:08, 0.00, 42.00, 299642, 141976, 0, 0.54
2024-09-17 오후 10:43:09, 0.76, 42.00, 305239, 144628, 0, 0.72
2024-09-17 오후 10:43:10, 0.39, 42.00, 310837, 147281, 0, 0.60
2024-09-17 오후 10:43:11, 0.00, 42.00, 316317, 149878, 0, 0.60
2024-09-17 오후 10:43:12, 0.00, 42.00, 321679, 152419, 0, 0.65
2024-09-17 오후 10:43:13, 0.76, 42.00, 327453, 155155, 0, 0.67
2024-09-17 오후 10:43:15, 1.16, 42.00, 333109, 157835, 0, 0.57
2024-09-17 오후 10:43:16, 0.00, 42.00, 338824, 160543, 0, 0.60
2024-09-17 오후 10:43:17, 0.76, 42.00, 344421, 163195, 0, 0.73
2024-09-17 오후 10:43:18, 0.00, 42.00, 349959, 165819, 0, 0.65
2024-09-17 오후 10:43:19, 1.14, 42.00, 355614, 168498, 0, 0.66
2024-09-17 오후 10:43:20, 1.53, 42.00, 361211, 171150, 0, 0.61
2024-09-17 오후 10:43:21, 0.00, 42.00, 366808, 173802, 0, 0.72
2024-09-17 오후 10:43:22, 0.76, 42.00, 372523, 176510, 0, 0.57
2024-09-17 오후 10:43:23, 1.16, 42.00, 378002, 179106, 0, 0.65
2024-09-17 오후 10:43:24, 0.38, 42.00, 383835, 181870, 0, 0.68
2024-09-17 오후 10:43:25, 0.77, 42.00, 389197, 184411, 0, 0.52
2024-09-17 오후 10:43:26, 0.39, 42.00, 394855, 187093, 0, 0.54
2024-09-17 오후 10:43:27, 0.00, 42.00, 400394, 189718, 0, 0.67
2024-09-17 오후 10:43:28, 0.77, 42.00, 406168, 192454, 0, 0.53
2024-09-17 오후 10:43:29, 0.38, 42.00, 411707, 195079, 0, 0.68
2024-09-17 오후 10:43:30, 0.76, 42.00, 417364, 197760, 0, 0.72
