Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오전 11:46:50, 0.00, 42.00, 27194, 13164, 0, 0.11
2024-09-18 오전 11:46:51, 0.75, 42.00, 33263, 16040, 0, 0.25
2024-09-18 오전 11:46:52, 0.00, 42.00, 39155, 18832, 0, 0.00
2024-09-18 오전 11:46:53, 0.38, 42.00, 45047, 21624, 0, 0.00
2024-09-18 오전 11:46:54, 0.76, 42.00, 50998, 24444, 0, 0.00
2024-09-18 오전 11:46:55, 0.39, 42.00, 56890, 27236, 0, 0.02
2024-09-18 오전 11:46:56, 0.38, 42.00, 62841, 30056, 0, 0.06
2024-09-18 오전 11:46:57, 0.00, 42.00, 68733, 32848, 0, 0.04
2024-09-18 오전 11:46:58, 0.38, 42.00, 74859, 35750, 0, 0.04
2024-09-18 오전 11:46:59, 0.77, 42.00, 80810, 38570, 0, 0.01
2024-09-18 오전 11:47:00, 0.38, 42.00, 86761, 41390, 0, 0.01
2024-09-18 오전 11:47:01, 0.38, 42.00, 92653, 44182, 0, 0.03
2024-09-18 오전 11:47:02, 0.76, 42.00, 98604, 47002, 0, 0.02
2024-09-18 오전 11:47:03, 0.38, 42.00, 104672, 49877, 0, 0.00
2024-09-18 오전 11:47:04, 2.29, 42.00, 110623, 52697, 0, 0.02
2024-09-18 오전 11:47:05, 0.77, 42.00, 116515, 55489, 0, 0.03
2024-09-18 오전 11:47:06, 0.38, 42.00, 122466, 58309, 0, 0.02
2024-09-18 오전 11:47:07, 0.38, 42.00, 128417, 61129, 0, 0.03
2024-09-18 오전 11:47:08, 0.38, 42.00, 134309, 63921, 0, 0.03
2024-09-18 오전 11:47:10, 0.00, 42.00, 140319, 66769, 0, 0.03
2024-09-18 오전 11:47:11, 0.76, 42.00, 146328, 69616, 0, 0.00
2024-09-18 오전 11:47:12, 0.38, 42.00, 152220, 72408, 0, 0.01
2024-09-18 오전 11:47:13, 0.00, 42.00, 158171, 75228, 0, 0.00
2024-09-18 오전 11:47:14, 0.38, 42.00, 164240, 78104, 0, 0.01
2024-09-18 오전 11:47:15, 0.00, 42.00, 170132, 80896, 0, 0.01
2024-09-18 오전 11:47:16, 0.77, 42.00, 176024, 83688, 0, 0.00
2024-09-18 오전 11:47:17, 0.77, 42.00, 181916, 86480, 0, 0.01
2024-09-18 오전 11:47:18, 0.00, 42.00, 187925, 89327, 0, 0.00
2024-09-18 오전 11:47:19, 0.38, 42.00, 193817, 92119, 0, 0.00
2024-09-18 오전 11:47:20, 0.00, 42.00, 199768, 94939, 0, 0.00
2024-09-18 오전 11:47:21, 0.38, 42.00, 205719, 97759, 0, 0.08
2024-09-18 오전 11:47:22, 0.76, 42.00, 211787, 100634, 0, 0.02
2024-09-18 오전 11:47:23, 0.38, 42.00, 217738, 103454, 0, 0.01
2024-09-18 오전 11:47:24, 0.38, 42.00, 223630, 106246, 0, 0.01
2024-09-18 오전 11:47:25, 0.38, 42.00, 229522, 109038, 0, 0.01
2024-09-18 오전 11:47:26, 0.00, 42.00, 235532, 111886, 0, 0.01
2024-09-18 오전 11:47:27, 0.38, 42.00, 241424, 114678, 0, 0.03
2024-09-18 오전 11:47:28, 0.00, 42.00, 247552, 117582, 0, 0.06
2024-09-18 오전 11:47:29, 0.00, 42.00, 253444, 120374, 0, 0.01
2024-09-18 오전 11:47:30, 1.52, 42.00, 259336, 123166, 0, 0.01
2024-09-18 오전 11:47:31, 1.16, 42.00, 265228, 125958, 0, 0.01
2024-09-18 오전 11:47:32, 0.38, 42.00, 271120, 128750, 0, 0.02
2024-09-18 오전 11:47:33, 0.00, 42.00, 277012, 131542, 0, 0.01
2024-09-18 오전 11:47:34, 0.00, 42.00, 282904, 134334, 0, 0.01
2024-09-18 오전 11:47:35, 0.38, 42.00, 288855, 137154, 0, 0.01
2024-09-18 오전 11:47:36, 0.00, 42.00, 294865, 140002, 0, 0.00
2024-09-18 오전 11:47:37, 0.00, 42.00, 300757, 142794, 0, 0.00
2024-09-18 오전 11:47:38, 0.38, 42.00, 306826, 145670, 0, 0.01
2024-09-18 오전 11:47:39, 0.00, 42.00, 312836, 148518, 0, 0.05
2024-09-18 오전 11:47:40, 0.00, 42.00, 318728, 151310, 0, 0.01
2024-09-18 오전 11:47:41, 1.15, 42.00, 324620, 154102, 0, 0.00
2024-09-18 오전 11:47:42, 0.00, 42.00, 330571, 156922, 0, 0.00
2024-09-18 오전 11:47:43, 0.39, 42.00, 336404, 159686, 0, 0.06
2024-09-18 오전 11:47:44, 0.38, 42.00, 342532, 162590, 0, 0.01
2024-09-18 오전 11:47:45, 0.38, 42.00, 348424, 165382, 0, 0.04
2024-09-18 오전 11:47:46, 0.38, 42.00, 354434, 168230, 0, 0.01
2024-09-18 오전 11:47:47, 0.76, 42.00, 360326, 171022, 0, 0.01
2024-09-18 오전 11:47:48, 1.91, 42.00, 366336, 173870, 0, 0.04
2024-09-18 오전 11:47:49, 0.77, 42.00, 372228, 176662, 0, 0.01
2024-09-18 오전 11:47:50, 0.38, 42.00, 378120, 179454, 0, 0.02
2024-09-18 오전 11:47:51, 1.15, 42.00, 384071, 182274, 0, 0.02
2024-09-18 오전 11:47:52, 0.77, 42.00, 390081, 185122, 0, 0.00
2024-09-18 오전 11:47:53, 0.38, 42.00, 395973, 187914, 0, 0.01
2024-09-18 오전 11:47:54, 0.38, 42.00, 401865, 190706, 0, 0.03
2024-09-18 오전 11:47:55, 0.00, 42.00, 407757, 193498, 0, 0.04
2024-09-18 오전 11:47:56, 0.77, 42.00, 413885, 196402, 0, 0.04
2024-09-18 오전 11:47:57, 0.38, 42.00, 419777, 199194, 0, 0.02
2024-09-18 오전 11:47:58, 0.00, 42.00, 425787, 202042, 0, 0.01
2024-09-18 오전 11:48:00, 0.38, 42.00, 431679, 204834, 0, 0.01
2024-09-18 오전 11:48:01, 0.77, 42.00, 437630, 207654, 0, 0.03
2024-09-18 오전 11:48:02, 0.38, 42.00, 443640, 210502, 0, 0.03
2024-09-18 오전 11:48:03, 0.00, 42.00, 449532, 213294, 0, 0.05
2024-09-18 오전 11:48:04, 0.38, 42.00, 455483, 216114, 0, 0.07
2024-09-18 오전 11:48:05, 0.38, 42.00, 461375, 218906, 0, 0.01
2024-09-18 오전 11:48:06, 0.00, 42.00, 467326, 221726, 0, 0.02
2024-09-18 오전 11:48:07, 0.00, 42.00, 473218, 224518, 0, 0.01
2024-09-18 오전 11:48:08, 0.38, 42.00, 479169, 227338, 0, 0.01
2024-09-18 오전 11:48:09, 0.38, 42.00, 485061, 230130, 0, 0.02
2024-09-18 오전 11:48:10, 0.38, 42.00, 490953, 232922, 0, 0.02
2024-09-18 오전 11:48:11, 0.00, 42.00, 496845, 235714, 0, 0.01
2024-09-18 오전 11:48:12, 0.76, 42.00, 502914, 238590, 0, 0.01
2024-09-18 오전 11:48:13, 0.00, 42.00, 508806, 241382, 0, 0.00
2024-09-18 오전 11:48:14, 0.39, 42.00, 514757, 244202, 0, 0.02
2024-09-18 오전 11:48:15, 0.00, 42.00, 520708, 247022, 0, 0.05
2024-09-18 오전 11:48:16, 0.00, 42.00, 526600, 249814, 0, 0.05
2024-09-18 오전 11:48:17, 0.00, 42.00, 532551, 252634, 0, 0.06
2024-09-18 오전 11:48:18, 0.00, 42.00, 538443, 255426, 0, 0.04
2024-09-18 오전 11:48:19, 0.77, 42.00, 544394, 258246, 0, 0.02
2024-09-18 오전 11:48:20, 0.00, 42.00, 550522, 261150, 0, 0.00
2024-09-18 오전 11:48:21, 0.00, 42.00, 556414, 263942, 0, 0.09
2024-09-18 오전 11:48:22, 1.53, 42.00, 562306, 266734, 0, 0.12
2024-09-18 오전 11:48:23, 0.00, 42.00, 568257, 269554, 0, 0.13
2024-09-18 오전 11:48:24, 0.77, 42.00, 574149, 272346, 0, 0.06
2024-09-18 오전 11:48:25, 0.38, 42.00, 580158, 275193, 0, 0.04
2024-09-18 오전 11:48:26, 0.00, 42.00, 586227, 278069, 0, 0.01
2024-09-18 오전 11:48:27, 0.38, 42.00, 592178, 280889, 0, 0.13
