Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-18 오후 12:19:42, 0.00, 42.00, 27665, 13387, 0, 0.09
2024-09-18 오후 12:19:43, 1.12, 42.00, 33733, 16262, 0, 0.00
2024-09-18 오후 12:19:44, 0.00, 42.00, 39625, 19054, 0, 0.01
2024-09-18 오후 12:19:46, 1.53, 42.00, 45576, 21874, 0, 0.01
2024-09-18 오후 12:19:47, 0.38, 42.00, 51468, 24666, 0, 0.01
2024-09-18 오후 12:19:48, 0.00, 42.00, 57478, 27514, 0, 0.04
2024-09-18 오후 12:19:49, 0.38, 42.00, 63370, 30306, 0, 0.05
2024-09-18 오후 12:19:50, 0.39, 42.00, 69262, 33098, 0, 0.05
2024-09-18 오후 12:19:51, 1.55, 42.00, 75154, 35890, 0, 0.00
2024-09-18 오후 12:19:52, 0.00, 42.00, 81163, 38737, 0, 0.02
2024-09-18 오후 12:19:53, 0.38, 42.00, 87055, 41529, 0, 0.00
2024-09-18 오후 12:19:54, 0.39, 42.00, 92947, 44321, 0, 0.00
2024-09-18 오후 12:19:55, 0.77, 42.00, 98898, 47141, 0, 0.00
2024-09-18 오후 12:19:56, 0.38, 42.00, 104790, 49933, 0, 0.00
2024-09-18 오후 12:19:57, 0.00, 42.00, 110741, 52753, 0, 0.00
2024-09-18 오후 12:19:58, 0.00, 42.00, 116633, 55545, 0, 0.01
2024-09-18 오후 12:19:59, 0.77, 42.00, 122643, 58393, 0, 0.02
2024-09-18 오후 12:20:00, 0.00, 42.00, 128652, 61240, 0, 0.04
2024-09-18 오후 12:20:01, 0.38, 42.00, 134544, 64032, 0, 0.01
2024-09-18 오후 12:20:02, 0.00, 42.00, 140495, 66852, 0, 0.00
2024-09-18 오후 12:20:03, 0.38, 42.00, 146387, 69644, 0, 0.02
2024-09-18 오후 12:20:04, 0.38, 42.00, 152338, 72464, 0, 0.03
2024-09-18 오후 12:20:05, 0.38, 42.00, 158406, 75339, 0, 0.00
2024-09-18 오후 12:20:06, 0.38, 42.00, 164298, 78131, 0, 0.03
2024-09-18 오후 12:20:07, 0.38, 42.00, 170249, 80951, 0, 0.01
2024-09-18 오후 12:20:08, 0.38, 42.00, 176141, 83743, 0, 0.02
2024-09-18 오후 12:20:09, 0.00, 42.00, 182151, 86591, 0, 0.04
2024-09-18 오후 12:20:10, 1.15, 42.00, 188043, 89383, 0, 0.00
2024-09-18 오후 12:20:11, 0.38, 42.00, 193935, 92175, 0, 0.00
2024-09-18 오후 12:20:12, 0.00, 42.00, 200062, 95078, 0, 0.01
2024-09-18 오후 12:20:13, 0.00, 42.00, 205954, 97870, 0, 0.06
2024-09-18 오후 12:20:14, 1.52, 42.00, 211905, 100690, 0, 0.06
2024-09-18 오후 12:20:15, 0.00, 42.00, 217856, 103510, 0, 0.02
2024-09-18 오후 12:20:16, 0.76, 42.00, 223748, 106302, 0, 0.00
2024-09-18 오후 12:20:17, 0.38, 42.00, 229758, 109150, 0, 0.01
2024-09-18 오후 12:20:18, 0.00, 42.00, 235650, 111942, 0, 0.01
2024-09-18 오후 12:20:19, 0.38, 42.00, 241660, 114790, 0, 0.02
2024-09-18 오후 12:20:20, 0.00, 42.00, 247611, 117610, 0, 0.08
2024-09-18 오후 12:20:21, 0.38, 42.00, 253621, 120458, 0, 0.05
2024-09-18 오후 12:20:22, 0.38, 42.00, 259513, 123250, 0, 0.00
2024-09-18 오후 12:20:23, 0.00, 42.00, 265582, 126126, 0, 0.00
2024-09-18 오후 12:20:24, 0.38, 42.00, 271474, 128918, 0, 0.01
2024-09-18 오후 12:20:25, 0.38, 42.00, 277366, 131710, 0, 0.02
2024-09-18 오후 12:20:26, 0.00, 42.00, 283258, 134502, 0, 0.02
2024-09-18 오후 12:20:27, 0.00, 42.00, 289150, 137294, 0, 0.01
2024-09-18 오후 12:20:28, 0.38, 42.00, 295042, 140086, 0, 0.01
2024-09-18 오후 12:20:29, 0.38, 42.00, 300934, 142878, 0, 0.02
2024-09-18 오후 12:20:30, 0.00, 42.00, 306944, 145726, 0, 0.03
2024-09-18 오후 12:20:31, 0.00, 42.00, 312836, 148518, 0, 0.04
2024-09-18 오후 12:20:32, 0.77, 42.00, 318846, 151366, 0, 0.04
2024-09-18 오후 12:20:33, 0.38, 42.00, 324738, 154158, 0, 0.02
2024-09-18 오후 12:20:34, 0.00, 42.00, 330748, 157006, 0, 0.03
2024-09-18 오후 12:20:35, 0.00, 42.00, 336640, 159798, 0, 0.02
2024-09-18 오후 12:20:37, 0.38, 42.00, 342650, 162646, 0, 0.02
2024-09-18 오후 12:20:38, 0.38, 42.00, 348542, 165438, 0, 0.00
2024-09-18 오후 12:20:39, 0.00, 42.00, 354434, 168230, 0, 0.00
2024-09-18 오후 12:20:40, 0.76, 42.00, 360326, 171022, 0, 0.01
2024-09-18 오후 12:20:41, 0.00, 42.00, 366336, 173898, 0, 0.00
2024-09-18 오후 12:20:42, 0.38, 42.00, 372405, 176746, 0, 0.06
2024-09-18 오후 12:20:43, 0.38, 42.00, 378356, 179566, 0, 0.03
2024-09-18 오후 12:20:44, 0.76, 42.00, 384366, 182414, 0, 0.02
2024-09-18 오후 12:20:45, 1.14, 42.00, 390258, 185206, 0, 0.02
2024-09-18 오후 12:20:46, 0.77, 42.00, 396150, 187998, 0, 0.00
2024-09-18 오후 12:20:47, 1.93, 42.00, 402042, 190790, 0, 0.02
2024-09-18 오후 12:20:48, 0.00, 42.00, 407993, 193610, 0, 0.00
2024-09-18 오후 12:20:49, 0.38, 42.00, 414062, 196486, 0, 0.06
2024-09-18 오후 12:20:50, 1.52, 42.00, 420013, 199306, 0, 0.02
2024-09-18 오후 12:20:51, 0.38, 42.00, 425905, 202098, 0, 0.00
2024-09-18 오후 12:20:52, 0.00, 42.00, 431856, 204918, 0, 0.00
2024-09-18 오후 12:20:53, 0.00, 42.00, 437748, 207710, 0, 0.04
2024-09-18 오후 12:20:54, 0.76, 42.00, 443758, 210558, 0, 0.04
2024-09-18 오후 12:20:55, 0.00, 42.00, 449827, 213434, 0, 0.05
2024-09-18 오후 12:20:56, 0.38, 42.00, 455719, 216226, 0, 0.00
2024-09-18 오후 12:20:57, 0.77, 42.00, 461611, 219018, 0, 0.00
2024-09-18 오후 12:20:58, 0.38, 42.00, 467503, 221810, 0, 0.01
2024-09-18 오후 12:20:59, 0.39, 42.00, 473395, 224602, 0, 0.01
2024-09-18 오후 12:21:00, 0.38, 42.00, 479405, 227450, 0, 0.01
2024-09-18 오후 12:21:01, 0.00, 42.00, 485297, 230242, 0, 0.06
2024-09-18 오후 12:21:02, 0.38, 42.00, 491307, 233090, 0, 0.02
2024-09-18 오후 12:21:03, 0.00, 42.00, 497199, 235882, 0, 0.03
2024-09-18 오후 12:21:04, 0.38, 42.00, 503386, 238814, 0, 0.03
2024-09-18 오후 12:21:05, 0.38, 42.00, 509278, 241606, 0, 0.01
2024-09-18 오후 12:21:06, 0.76, 42.00, 515170, 244398, 0, 0.01
