Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 8:39:47, 0.00, 37.00, 581, 271, 0, 0.00
2024-09-17 오후 8:39:48, 0.75, 37.00, 1162, 542, 0, 0.10
2024-09-17 오후 8:39:49, 1.13, 37.00, 1684, 785, 0, 0.22
2024-09-17 오후 8:39:50, 0.77, 37.00, 2207, 1029, 0, 0.22
2024-09-17 오후 8:39:51, 0.38, 37.00, 2730, 1273, 0, 0.67
2024-09-17 오후 8:39:53, 0.36, 37.00, 3137, 1544, 0, 11.43
2024-09-17 오후 8:39:54, 0.35, 37.00, 3718, 1842, 0, 40.40
2024-09-17 오후 8:39:55, 0.00, 37.00, 4299, 2005, 0, 17.90
2024-09-17 오후 8:39:56, 0.37, 37.00, 4938, 2303, 0, 11.64
2024-09-17 오후 8:39:57, 0.38, 37.00, 5461, 2547, 0, 1.33
2024-09-17 오후 8:39:58, 0.38, 37.00, 6042, 2818, 0, 0.90
2024-09-17 오후 8:39:59, 0.77, 37.00, 6623, 3089, 0, 0.70
2024-09-17 오후 8:40:00, 0.38, 37.00, 7030, 3279, 0, 1.00
2024-09-17 오후 8:40:01, 0.00, 37.00, 7553, 3523, 0, 0.78
2024-09-17 오후 8:40:02, 0.77, 37.00, 8134, 3794, 0, 0.90
2024-09-17 오후 8:40:03, 0.38, 37.00, 8715, 4065, 0, 1.30
2024-09-17 오후 8:40:04, 0.39, 37.00, 9296, 4336, 0, 0.90
2024-09-17 오후 8:40:05, 0.38, 37.00, 9877, 4607, 0, 0.80
2024-09-17 오후 8:40:06, 0.00, 37.00, 10458, 4878, 0, 1.20
2024-09-17 오후 8:40:07, 0.38, 37.00, 10980, 5121, 0, 1.11
2024-09-17 오후 8:40:08, 0.00, 37.00, 11561, 5392, 0, 0.90
2024-09-17 오후 8:40:09, 0.77, 37.00, 12142, 5663, 0, 1.00
2024-09-17 오후 8:40:10, 0.38, 37.00, 12723, 5934, 0, 0.90
2024-09-17 오후 8:40:11, 0.38, 37.00, 13072, 6097, 0, 0.67
2024-09-17 오후 8:40:12, 0.38, 37.00, 13595, 6341, 0, 1.11
2024-09-17 오후 8:40:13, 0.00, 37.00, 14176, 6612, 0, 1.90
2024-09-17 오후 8:40:14, 1.14, 37.00, 14757, 6883, 0, 1.30
2024-09-17 오후 8:40:15, 0.38, 37.00, 15338, 7154, 0, 0.80
2024-09-17 오후 8:40:16, 0.38, 37.00, 15745, 7344, 0, 1.00
2024-09-17 오후 8:40:17, 0.00, 37.00, 16268, 7588, 0, 1.22
2024-09-17 오후 8:40:18, 0.39, 37.00, 16849, 7859, 0, 1.50
2024-09-17 오후 8:40:19, 1.15, 37.00, 17430, 8130, 0, 1.20
2024-09-17 오후 8:40:20, 0.00, 37.00, 18011, 8401, 0, 1.20
2024-09-17 오후 8:40:21, 0.76, 37.00, 18592, 8672, 0, 1.00
2024-09-17 오후 8:40:22, 0.38, 37.00, 19173, 8943, 0, 1.10
2024-09-17 오후 8:40:23, 0.38, 37.00, 19754, 9214, 0, 1.10
2024-09-17 오후 8:40:24, 0.38, 37.00, 20276, 9457, 0, 0.89
2024-09-17 오후 8:40:25, 0.38, 37.00, 20857, 9728, 0, 1.10
2024-09-17 오후 8:40:26, 0.00, 37.00, 21438, 9999, 0, 1.20
2024-09-17 오후 8:40:27, 0.38, 37.00, 21787, 10162, 0, 0.67
2024-09-17 오후 8:40:28, 0.38, 37.00, 22368, 10433, 0, 0.90
2024-09-17 오후 8:40:30, 0.00, 37.00, 22891, 10677, 0, 1.22
2024-09-17 오후 8:40:31, 0.38, 37.00, 23472, 10948, 0, 1.10
2024-09-17 오후 8:40:32, 0.00, 37.00, 24053, 11219, 0, 1.20
2024-09-17 오후 8:40:33, 0.39, 37.00, 24460, 11409, 0, 0.71
2024-09-17 오후 8:40:34, 0.38, 37.00, 25041, 11680, 0, 1.00
2024-09-17 오후 8:40:35, 0.38, 37.00, 25564, 11924, 0, 1.33
2024-09-17 오후 8:40:36, 0.38, 37.00, 26145, 12195, 0, 1.10
2024-09-17 오후 8:40:37, 0.38, 37.00, 26726, 12466, 0, 1.20
2024-09-17 오후 8:40:38, 0.00, 37.00, 27307, 12737, 0, 1.30
2024-09-17 오후 8:40:39, 0.38, 37.00, 27888, 13008, 0, 1.10
2024-09-17 오후 8:40:40, 0.00, 37.00, 28469, 13279, 0, 1.30
2024-09-17 오후 8:40:41, 0.38, 37.00, 29050, 13550, 0, 1.20
2024-09-17 오후 8:40:42, 0.38, 37.00, 29572, 13793, 0, 1.33
2024-09-17 오후 8:40:43, 0.39, 37.00, 30153, 14064, 0, 1.10
2024-09-17 오후 8:40:44, 0.00, 37.00, 30734, 14335, 0, 1.20
2024-09-17 오후 8:40:45, 0.00, 37.00, 31083, 14498, 0, 0.67
