Time, CPU(%), Memory(MB), Sent(Bytes), Received(Bytes), Errors, Average Response Time(ms)
2024-09-17 오후 5:27:31, 0.00, 45.00, 180890, 85596, 0, 0.53
2024-09-17 오후 5:27:32, 0.75, 45.00, 186664, 88332, 0, 0.99
2024-09-17 오후 5:27:33, 0.77, 45.00, 191965, 90843, 0, 0.82
2024-09-17 오후 5:27:34, 0.00, 45.00, 197503, 93467, 0, 0.69
2024-09-17 오후 5:27:35, 1.15, 45.00, 203159, 96147, 0, 0.59
2024-09-17 오후 5:27:36, 0.38, 45.00, 208520, 98687, 0, 0.59
2024-09-17 오후 5:27:37, 0.00, 45.00, 214058, 101311, 0, 0.53
2024-09-17 오후 5:27:38, 0.38, 45.00, 219832, 104047, 0, 0.61
2024-09-17 오후 5:27:39, 0.38, 45.00, 225311, 106643, 0, 0.68
2024-09-17 오후 5:27:40, 0.38, 45.00, 230909, 109296, 0, 0.65
2024-09-17 오후 5:27:41, 0.00, 45.00, 236448, 111921, 0, 0.59
2024-09-17 오후 5:27:42, 0.77, 45.00, 241928, 114518, 0, 0.65
2024-09-17 오후 5:27:43, 0.76, 45.00, 247409, 117116, 0, 0.66
2024-09-17 오후 5:27:44, 0.00, 45.00, 253066, 119797, 0, 0.65
2024-09-17 오후 5:27:45, 0.76, 45.00, 258605, 122422, 0, 0.64
2024-09-17 오후 5:27:46, 0.38, 45.00, 264145, 125048, 0, 0.61
2024-09-17 오후 5:27:47, 0.00, 45.00, 269742, 127700, 0, 0.54
2024-09-17 오후 5:27:48, 0.38, 45.00, 275339, 130352, 0, 0.71
2024-09-17 오후 5:27:49, 0.00, 45.00, 280995, 133032, 0, 0.51
2024-09-17 오후 5:27:50, 0.00, 45.00, 286414, 135599, 0, 0.55
2024-09-17 오후 5:27:51, 0.00, 45.00, 291952, 138223, 0, 0.63
2024-09-17 오후 5:27:52, 0.77, 45.00, 297490, 140847, 0, 0.59
2024-09-17 오후 5:27:53, 0.38, 45.00, 303087, 143499, 0, 0.67
2024-09-17 오후 5:27:54, 0.38, 45.00, 308507, 146067, 0, 0.60
2024-09-17 오후 5:27:55, 0.00, 45.00, 314222, 148775, 0, 0.58
2024-09-17 오후 5:27:56, 0.38, 45.00, 319878, 151455, 0, 0.58
2024-09-17 오후 5:27:57, 0.76, 45.00, 325298, 154023, 0, 0.66
2024-09-17 오후 5:27:58, 0.38, 45.00, 330837, 156648, 0, 0.89
2024-09-17 오후 5:28:00, 0.74, 45.00, 335201, 159385, 0, 4.61
2024-09-17 오후 5:28:02, 0.14, 45.00, 341798, 161843, 0, 1200.97
2024-09-17 오후 5:28:03, 0.38, 45.00, 347513, 164551, 0, 28.28
2024-09-17 오후 5:28:04, 1.51, 45.00, 353405, 167343, 0, 8.44
2024-09-17 오후 5:28:05, 0.38, 45.00, 359063, 170025, 0, 4.70
2024-09-17 오후 5:28:06, 0.38, 45.00, 364955, 172817, 0, 4.66
2024-09-17 오후 5:28:07, 0.00, 45.00, 370847, 175609, 0, 4.81
2024-09-17 오후 5:28:08, 0.38, 45.00, 376739, 178401, 0, 4.01
