Timestamp,PlayerID,CPUUsage,MemoryUsage,NetworkSent,NetworkReceived,Importance,ProcessingTime,Mode,TotalErrors
2024-09-30T06:43:31.6080552Z,4,2.8639045,26779648,128,32,2,0.095,1,0
2024-09-30T06:43:31.6151541Z,10,15.891903,26779648,128,32,2,0.0787,1,0
2024-09-30T06:43:31.6174468Z,8,2.8639045,26779648,128,16,1,0.0321,1,0
2024-09-30T06:43:31.6204476Z,3,15.891903,26779648,128,16,1,0.0586,1,0
2024-09-30T06:43:31.6233777Z,2,13.027998,26779648,128,64,2,0.0378,1,0
2024-09-30T06:43:31.6263061Z,9,13.027998,26779648,128,32,2,0.0361,1,0
2024-09-30T06:43:31.6293768Z,6,26.052958,26779648,128,32,2,0.0885,1,0
2024-09-30T06:43:31.6327385Z,7,39.080956,26779648,128,64,2,0.049,1,0
2024-09-30T06:43:31.6363497Z,5,26.052958,26779648,128,32,2,0.0436,1,0
2024-09-30T06:43:31.6398959Z,1,26.052958,26779648,128,16,1,0.0428,1,0
2024-09-30T06:43:32.5838647Z,4,55.07687,26812416,128,32,2,0.0413,1,0
2024-09-30T06:43:32.5872661Z,3,55.07687,26812416,128,64,2,0.0499,1,0
2024-09-30T06:43:32.5936189Z,8,55.07687,26812416,128,64,2,0.0878,1,0
2024-09-30T06:43:32.6149538Z,7,63.301052,26812416,128,64,2,0.054,1,0
2024-09-30T06:43:32.6220084Z,2,60.567486,26812416,128,128,3,0.0523,1,0
2024-09-30T06:43:32.6277885Z,5,8.224182,26820608,128,64,2,0.1703,1,0
2024-09-30T06:43:32.6317243Z,9,8.224182,26820608,128,64,2,0.0354,1,0
2024-09-30T06:43:32.6353981Z,1,34.158653,26820608,128,16,1,0.0661,1,0
2024-09-30T06:43:32.6390115Z,6,25.93447,26820608,128,32,2,0.0456,1,0
2024-09-30T06:43:32.6426605Z,10,25.93447,26820608,128,16,1,0.0443,1,0
2024-09-30T06:43:33.5660828Z,4,35.128254,26898432,128,16,1,0.0576,1,0
2024-09-30T06:43:33.5843716Z,8,13.53657,26898432,128,32,2,0.0529,1,0
2024-09-30T06:43:33.5972854Z,9,13.53657,26898432,128,32,2,0.0462,1,0
2024-09-30T06:43:33.6040424Z,7,17.728807,26898432,128,16,1,0.0544,1,0
